day,hour,mean.ta,mean.rh,total.radiation.umol.m2.s,CO2.ppm,mean.wind.speed.m.s,swp.MPa,year,stn.no.
276,9,12.128571428571428,0.7685714285714286,3253.611111075,400,2.8857142857142857,-0.2,2022,121
276,10,13.82857142857143,0.6914285714285714,3204.861111075,400,3.257142857142857,-0.2,2022,121
276,11,14.914285714285715,0.6485714285714286,3324.0277776549997,400,4.414285714285715,-0.2,2022,121
276,12,15.7,0.6085714285714285,2910.5555555700003,400,4.485714285714286,-0.2,2022,121
276,13,16.057142857142857,0.6,2284.027777785,400,4.8,-0.2,2022,121
276,14,16.357142857142858,0.5857142857142857,1543.7499999349998,400,4.1571428571428575,-0.2,2022,121
276,15,16.485714285714284,0.58,801.6666667164999,400,3.9,-0.2,2022,121
276,16,16.271428571428572,0.5771428571428572,350.27777774665,400,3.414285714285714,-0.2,2022,121
276,17,15.32857142857143,0.6028571428571429,209.44444446639997,400,3.242857142857143,-0.2,2022,121
276,18,13.899999999999999,0.64,75.83333335499998,400,2.9857142857142858,-0.2,2022,121
276,19,12.32857142857143,0.69,5.41666666645,400,2.757142857142857,-0.2,2022,121
276,20,11.628571428571428,0.7228571428571429,0,400,2.9571428571428573,-0.2,2022,121
276,21,11.342857142857142,0.7442857142857143,0,400,2.5428571428571427,-0.2,2022,121
276,22,10.542857142857143,0.7814285714285714,0,400,2.142857142857143,-0.2,2022,121
276,23,9.985714285714286,0.7985714285714286,0,400,2.0571428571428574,-0.2,2022,121
277,0,9.914285714285715,0.7885714285714286,0,400,2.7285714285714286,-0.2,2022,121
277,1,9.714285714285714,0.7914285714285714,0,400,3.2,-0.2,2022,121
277,2,9.628571428571428,0.7985714285714286,0,400,2.142857142857143,-0.2,2022,121
277,3,9.67142857142857,0.7985714285714286,9.027777778499999,400,2.7285714285714286,-0.2,2022,121
277,4,9.385714285714286,0.8171428571428571,216.66666666449999,400,3.085714285714286,-0.2,2022,121
277,5,9.528571428571428,0.81,770.9722222605,400,3.8,-0.2,2022,121
277,6,9.257142857142856,0.8171428571428571,1236.8055555557,400,3.2714285714285714,-0.2,2022,121
277,7,9.557142857142857,0.8185714285714286,1847.0833333745,400,3.3142857142857145,-0.2,2022,121
277,8,11.414285714285715,0.7842857142857143,2374.3055555049996,400,4.242857142857143,-0.2,2022,121
277,9,13.385714285714286,0.7114285714285714,2692.0833332899997,400,5.771428571428571,-0.2,2022,121
277,10,14.642857142857142,0.6614285714285714,2728.194444495,400,6.514285714285714,-0.2,2022,121
277,11,15.571428571428571,0.64,2814.86111114,400,6.628571428571428,-0.2,2022,121
277,12,16.071428571428573,0.6357142857142857,2451.94444443,400,7.6571428571428575,-0.2,2022,121
277,13,16.52857142857143,0.6242857142857143,1818.1944443649998,400,7.3428571428571425,-0.2,2022,121
277,14,16.8,0.6171428571428571,1301.8055555114997,400,6.942857142857143,-0.2,2022,121
277,15,16.47142857142857,0.6171428571428571,745.6944443975,400,5.585714285714285,-0.2,2022,121
277,16,15.485714285714286,0.6714285714285714,326.8055555752,400,6.957142857142857,-0.2,2022,121
277,17,14.357142857142858,0.7114285714285714,74.0277777707,400,5.6571428571428575,-0.2,2022,121
277,18,13.485714285714286,0.7542857142857143,14.444444442999998,400,4.814285714285714,-0.2,2022,121
277,19,12.971428571428572,0.7814285714285714,1.8055555556999998,400,4.242857142857143,-0.2,2022,121
277,20,12.685714285714285,0.797142857142857,0,400,5.128571428571429,-0.2,2022,121
277,21,12.814285714285715,0.7957142857142857,0,400,3.7857142857142856,-0.2,2022,121
277,22,12.914285714285715,0.7942857142857143,0,400,4.414285714285715,-0.2,2022,121
277,23,12.742857142857144,0.8085714285714286,0,400,4.457142857142857,-0.2,2022,121
278,0,12.742857142857144,0.807142857142857,0,400,4.114285714285715,-0.2,2022,121
278,1,12.8,0.8,0,400,4.3428571428571425,-0.2,2022,121
278,2,12.528571428571428,0.8028571428571429,0,400,3.657142857142857,-0.2,2022,121
278,3,12.3,0.7942857142857143,5.4166666670999994,400,3.357142857142857,-0.2,2022,121
278,4,11.871428571428572,0.7714285714285714,162.4999999987,400,3.4285714285714284,-0.2,2022,121
278,5,11.485714285714286,0.7557142857142857,612.0833333745,400,3.5142857142857142,-0.2,2022,121
278,6,11.17142857142857,0.76,1014.7222221292,400,4.0285714285714285,-0.2,2022,121
278,7,11.5,0.7685714285714286,1552.777777707,400,5.071428571428571,-0.2,2022,121
278,8,12.642857142857142,0.7428571428571429,1825.4166666904998,400,5.514285714285714,-0.2,2022,121
278,9,13.514285714285714,0.7057142857142857,2354.44444443,400,6.371428571428572,-0.2,2022,121
278,10,14.271428571428572,0.6914285714285714,2148.6111110945,400,7.342857142857143,-0.2,2022,121
278,11,15.314285714285715,0.6514285714285714,2139.5833333485,400,7.242857142857143,-0.2,2022,121
278,12,16.185714285714287,0.6242857142857143,2282.2222222345,400,7.171428571428572,-0.2,2022,121
278,13,16.2,0.62,1890.416666684,400,7.414285714285715,-0.2,2022,121
278,14,16.285714285714285,0.6271428571428571,1381.249999987,400,6.3428571428571425,-0.2,2022,121
278,15,15.928571428571429,0.6457142857142857,785.4166666579999,400,5.371428571428571,-0.2,2022,121
278,16,15.257142857142858,0.657142857142857,406.24999999284995,400,5.242857142857143,-0.2,2022,121
278,17,14.4,0.6814285714285714,209.44444446639997,400,4.485714285714286,-0.2,2022,121
278,18,13.4,0.6971428571428571,77.63888886,400,4,-0.2,2022,121
278,19,11.885714285714286,0.7528571428571429,5.41666666645,400,3.9857142857142858,-0.2,2022,121
278,20,10.67142857142857,0.8,0,400,3.5428571428571427,-0.2,2022,121
278,21,10.157142857142857,0.8257142857142857,0,400,3.4,-0.2,2022,121
278,22,9.6,0.8585714285714287,0,400,3.1857142857142855,-0.2,2022,121
278,23,9.385714285714286,0.8714285714285714,0,400,3.6,-0.2,2022,121
279,0,9.1,0.8928571428571429,0,400,2.657142857142857,-0.2,2022,121
279,1,8.528571428571428,0.9042857142857144,0,400,3.3857142857142857,-0.2,2022,121
279,2,8.128571428571428,0.9128571428571429,0,400,2.7285714285714286,-0.2,2022,121
279,3,8.014285714285714,0.9085714285714286,9.027777778499999,400,2.9857142857142858,-0.2,2022,121
279,4,8.642857142857142,0.8828571428571429,187.7777777772,400,3.1285714285714286,-0.2,2022,121
279,5,9.157142857142857,0.8542857142857143,704.166666697,400,3.6285714285714286,-0.2,2022,121
279,6,9.22857142857143,0.85,1372.2222222007,400,3.6999999999999997,-0.2,2022,121
279,7,9.628571428571428,0.8414285714285714,1843.472222228,400,3.8285714285714287,-0.2,2022,121
279,8,11.442857142857143,0.8057142857142857,2630.694444495,400,3.542857142857143,-0.2,2022,121
279,9,13.728571428571428,0.7142857142857143,2980.97222228,400,3.9285714285714284,-0.2,2022,121
279,10,15.042857142857143,0.65,3013.4722222149994,400,4.9,-0.2,2022,121
279,11,16.15714285714286,0.5928571428571429,2930.416666645,400,5.557142857142857,-0.2,2022,121
279,12,17.214285714285715,0.55,2899.7222222150003,400,5.314285714285714,-0.2,2022,121
279,13,17.54285714285714,0.5271428571428571,2480.833333355,400,5.4714285714285715,-0.2,2022,121
279,14,17.8,0.5285714285714286,1785.69444443,400,5.514285714285714,-0.2,2022,121
279,15,17.957142857142856,0.5285714285714286,946.111111114,400,5.042857142857143,-0.2,2022,121
279,16,17.62857142857143,0.5371428571428571,390.0000000221,400,4.357142857142858,-0.2,2022,121
279,17,16.885714285714286,0.5571428571428572,218.47222223645002,400,3.657142857142857,-0.2,2022,121
279,18,15.457142857142857,0.5957142857142856,86.66666664499999,400,3.6,-0.2,2022,121
279,19,13.485714285714286,0.6628571428571429,5.41666666645,400,3.0571428571428574,-0.2,2022,121
279,20,12.385714285714286,0.7085714285714286,0,400,3.1714285714285717,-0.2,2022,121
279,21,11.685714285714285,0.7471428571428571,0,400,3.3285714285714287,-0.2,2022,121
279,22,11.32857142857143,0.7771428571428571,0,400,3.3285714285714287,-0.2,2022,121
279,23,11.157142857142857,0.7785714285714286,0,400,2.7285714285714286,-0.2,2022,121
280,0,10.742857142857142,0.7985714285714286,0,400,3.3,-0.2,2022,121
280,1,10.642857142857142,0.8028571428571429,0,400,3.8142857142857145,-0.2,2022,121
280,2,10.485714285714286,0.81,0,400,3.2714285714285714,-0.2,2022,121
280,3,10.114285714285714,0.84,9.027777778499999,400,3.185714285714286,-0.2,2022,121
280,4,10.014285714285714,0.8528571428571429,176.9444444417,400,3.8714285714285714,-0.2,2022,121
280,5,10.042857142857143,0.84,520.0000000195,400,4.742857142857143,-0.2,2022,121
280,6,10.357142857142858,0.8285714285714286,1157.3611110594,400,4.457142857142857,-0.2,2022,121
280,7,10.82857142857143,0.8285714285714286,1505.8333332965,400,3.5285714285714285,-0.2,2022,121
280,8,12.528571428571428,0.787142857142857,1830.83333329,400,4.4,-0.2,2022,121
280,9,14.32857142857143,0.7271428571428571,1931.94444443,400,4.271428571428571,-0.2,2022,121
280,10,15.571428571428571,0.7042857142857143,2330.9722222149994,400,4.685714285714286,-0.2,2022,121
280,11,16.771428571428572,0.6642857142857143,2395.97222228,400,4.871428571428572,-0.2,2022,121
280,12,17.085714285714285,0.6371428571428571,2105.2777777655,400,6.328571428571428,-0.2,2022,121
280,13,16.97142857142857,0.6271428571428571,1612.3611111205,400,6.271428571428571,-0.2,2022,121
280,14,16.642857142857142,0.6471428571428571,1151.9444444819999,400,6.428571428571429,-0.2,2022,121
280,15,16.642857142857142,0.6514285714285714,675.277777772,400,6.385714285714286,-0.2,2022,121
280,16,15.842857142857143,0.6657142857142857,287.08333334199995,400,5.685714285714286,-0.2,2022,121
280,17,15,0.7014285714285714,238.3333333407,400,5.3999999999999995,-0.2,2022,121
280,18,14.17142857142857,0.7214285714285714,113.75,400,5.4714285714285715,-0.2,2022,121
280,19,13.314285714285715,0.7614285714285713,10.8333333355,400,6.485714285714286,-0.2,2022,121
280,20,12.614285714285714,0.7942857142857143,0,400,6.371428571428571,-0.2,2022,121
280,21,12.342857142857143,0.81,0,400,6.071428571428571,-0.2,2022,121
280,22,12.157142857142857,0.8185714285714286,0,400,5.785714285714286,-0.2,2022,121
280,23,11.957142857142857,0.832857142857143,0,400,5.371428571428572,-0.2,2022,121
281,0,11.928571428571429,0.8371428571428571,0,400,4.385714285714286,-0.2,2022,121
