year,doy,totalRain,Tmax,Tmin,Tmean,Rad,Wind,RH,vpd,ET0,ET_Rain,station,vineyard,region
2022,59,0,17,10.1,14.0625,18.66816,1.825,72.74166666666666,0.46150481951500055,5.3508037125500305,5.3508037125500305,Blenheim,"NA",Marlborough
2022,60,0.2,18.3,10.8,14.620833333333334,22.30632,1.6708333333333334,77.55833333333334,0.4068665647257296,6.113313885601178,5.913313885601178,Blenheim,"NA",Marlborough
2022,61,0,19.8,10.4,14.483333333333334,20.8674,1.7583333333333333,77.45,0.41636589147595554,5.809391966360048,5.809391966360048,Blenheim,"NA",Marlborough
2022,62,0,19,9.7,13.825,23.74272,1.7083333333333333,75.6125,0.4404626751657075,6.430787553388935,6.430787553388935,Blenheim,"NA",Marlborough
2022,63,0,21,9.6,15.125,21.11724,1.8041666666666667,79.3125,0.4407118362789251,5.977834809818257,5.977834809818257,Blenheim,"NA",Marlborough
2022,64,0,25.5,11.3,17.633333333333333,23.78772,1.6208333333333333,73.12083333333334,0.6746568443651869,6.987503080725129,6.987503080725129,Blenheim,"NA",Marlborough
2022,65,0,24.8,13.7,19.65,23.6412,4.345833333333333,63.34166666666667,0.9256413285634582,9.555814454204095,9.555814454204095,Blenheim,"NA",Marlborough
2022,66,0,24.8,11.7,17.908333333333335,20.03904,2.3625,69.52083333333333,0.7060757438857952,6.61256630930166,6.61256630930166,Blenheim,"NA",Marlborough
2022,67,0,21.6,12.4,17.433333333333334,22.329,1.8541666666666667,77.3125,0.49882466739413034,6.567438964454432,6.567438964454432,Blenheim,"NA",Marlborough
2022,68,0,24.2,13.7,19.029166666666665,22.829040000000003,2.745833333333333,73.30833333333334,0.6460391729077105,7.521531298348967,7.521531298348967,Blenheim,"NA",Marlborough
2022,69,0,19.9,14.1,16.791666666666668,13.34052,1.3125,86.72916666666667,0.271629229621164,3.785750269369748,3.785750269369748,Blenheim,"NA",Marlborough
2022,70,0,24.2,13.5,18.758333333333333,16.056,2.841666666666667,73.81666666666666,0.662741362497659,5.871157619116874,5.871157619116874,Blenheim,"NA",Marlborough
2022,71,0.4,25.6,15.3,19.733333333333334,18.78984,2.1458333333333335,69.41666666666667,0.736156577765075,6.275085328766344,5.875085328766343,Blenheim,"NA",Marlborough
2022,72,0,20.5,13.3,16.1125,22.02048,2.6416666666666666,68.1875,0.6155172846509457,7.02953266739064,7.02953266739064,Blenheim,"NA",Marlborough
2022,73,0,17.6,11.8,14.641666666666667,11.28672,1.7166666666666666,73.175,0.45598107726017034,3.5705519215316532,3.5705519215316532,Blenheim,"NA",Marlborough
2022,74,0,19.4,11,15.270833333333334,20.17224,2.0791666666666666,68.99166666666666,0.5746308837189673,6.104396176330417,6.104396176330417,Blenheim,"NA",Marlborough
2022,75,0,19,9.9,14.720833333333333,17.06472,2.15,72.23333333333333,0.48657814225712887,5.228141845886372,5.228141845886372,Blenheim,"NA",Marlborough
2022,76,0,18,9.6,13.420833333333333,13.31172,1.4291666666666667,67.02916666666667,0.5333598591669735,3.9373011903807407,3.9373011903807407,Blenheim,"NA",Marlborough
2022,77,0,16.6,7.3,11.6375,19.80036,1.9124999999999999,72.32916666666667,0.43315716259003495,5.429187221841847,5.429187221841847,Blenheim,"NA",Marlborough
2022,78,0,18,5,11.433333333333334,18.9216,1.8666666666666667,80.85,0.32191348134764114,5.006492182050781,5.006492182050781,Blenheim,"NA",Marlborough
2022,79,0,20.5,10,14.55,14.16528,1.55,81.39583333333333,0.3653945977406293,4.051902312096458,4.051902312096458,Blenheim,"NA",Marlborough
