Site,Variety,Date,pruning,Severity,year,doy,doy.july1st,season,previous.season,sev1,sev2,sev3,sev23,first_sev1,end_sev1,first_sev23,end_sev23,tmean_sev1,tmin_sev1,tmax_sev1,rh_sev1,wetness_sev1,WD_sev1,rain_sev1,tmean_sev23,tmin_sev23,tmax_sev23,rh_sev23,wetness_sev23,WD_sev23,rain_sev23
Booker,Sauvignon blanc,2016-04-01T00:00:00Z,4-cane,0.044292632100660694,2016,92,276,2015-2016,2014-2015,5.793905752415516,0.8349670001063488,0.3679621751441576,1.2029291752505062,2015-12-05T00:00:00Z,2016-01-23T00:00:00Z,2016-02-12T00:00:00Z,2016-04-01T00:00:00Z,16.93129912347826,10.2484996,22.9891392,67.39153517391304,17.404602067731304,3.54,95.3156,17.75531622347826,11.37027134,23.8690242,71.54260621739131,17.79233220226261,3.62,87.883383
Booker,Sauvignon blanc,2017-03-30T00:00:00Z,2-cane,0.02859556908542624,2017,89,273,2016-2017,2015-2016,4.324644556069322,2.3946052852669357,3.0196009751433786,5.414206260410314,2016-12-02T00:00:00Z,2017-01-22T00:00:00Z,2017-02-12T00:00:00Z,2017-03-30T00:00:00Z,16.755992401337792,10.751704865384616,22.113622692307693,67.97196900501672,15.925901772120401,3.1153846153846154,67.4454,16.727858703977798,10.89042389361702,22.45980680851064,79.76135766882516,31.791314438663274,6.914893617021277,78.036003
Booker,Sauvignon blanc,2017-03-30T00:00:00Z,4-cane,0.04158654038383376,2017,89,273,2016-2017,2015-2016,4.324644556069322,2.3946052852669357,3.0196009751433786,5.414206260410314,2016-12-02T00:00:00Z,2017-01-22T00:00:00Z,2017-02-12T00:00:00Z,2017-03-30T00:00:00Z,16.755992401337792,10.751704865384616,22.113622692307693,67.97196900501672,15.925901772120401,3.1153846153846154,67.4454,16.727858703977798,10.89042389361702,22.45980680851064,79.76135766882516,31.791314438663274,6.914893617021277,78.036003
Booker,Sauvignon blanc,2018-03-23T00:00:00Z,2-cane,0.37901567297853667,2018,82,266,2017-2018,2016-2017,5.558307208940969,1.7855403730786392,3.5386495045673008,5.3241898776459395,2017-11-25T00:00:00Z,2018-01-09T00:00:00Z,2018-01-25T00:00:00Z,2018-03-23T00:00:00Z,18.79364695274102,12.138567739130435,24.860891739130434,72.54482120982986,19.971829931087903,4.043478260869565,76.032606,18.026160927286355,12.202601844827587,23.4257,77.65224742128936,24.137998051352323,5.275862068965517,242.907034
Booker,Sauvignon blanc,2019-03-27T00:00:00Z,2-cane,0.07377997762466894,2019,86,270,2018-2019,2017-2018,8.939160185119999,1.503469382752387,0.7364463572616414,2.2399157400140286,2018-11-24T00:00:00Z,2019-01-11T00:00:00Z,2019-01-29T00:00:00Z,2019-03-27T00:00:00Z,18.006181526386953,12.94491259378037,22.944053673469387,77.5543217256095,25.063617776725188,5.183673469387755,89.47199400000001,18.55737757946027,11.860279862068966,24.80842120689655,70.89950095952024,19.45754608010195,4.0344827586206895,83.32079
Booker,Sauvignon blanc,2020-03-22T00:00:00Z,2-cane,0.03372733287457311,2020,82,266,2019-2020,2018-2019,6.93423309581223,0.9770252808287889,0.023017157743121026,1.00004243857191,2019-11-28T00:00:00Z,2020-01-18T00:00:00Z,2020-02-08T00:00:00Z,2020-03-22T00:00:00Z,16.365527878762542,10.194349384615384,21.646395000000002,72.38736392976588,20.35773295229933,4.230769230769231,111.7701131,17.26517292737154,10.432902386363637,23.733057272727272,72.13935527766799,18.705881693138835,3.590909090909091,17.7592181
Booker,Sauvignon blanc,2021-03-19T00:00:00Z,2-cane,0.004338394793926247,2021,78,262,2020-2021,2019-2020,7.0715122251441835,0.785073028647445,0.567216544700848,1.352289573348293,2020-11-22T00:00:00Z,2021-01-13T00:00:00Z,2021-02-03T00:00:00Z,2021-03-19T00:00:00Z,16.481101699753896,10.372069075471698,21.9106679245283,73.94718334700575,20.81618115466612,4.3584905660377355,68.145006,16.854275350724638,9.844000444444445,23.464467777777777,71.02129573913044,20.88627490647826,4.488888888888889,17.9025
Booker,Sauvignon blanc,2022-03-30T00:00:00Z,2-cane,0.9393894710006757,2022,89,273,2021-2022,2020-2021,6.977481436345522,2.8253701059867615,4.238848693728793,7.064218799715554,2021-11-22T00:00:00Z,2021-12-31T00:00:00Z,2022-01-25T00:00:00Z,2022-03-30T00:00:00Z,17.931954892391303,12.7855629,23.1365465,76.85391930434783,24.45463960256739,5.075,80.657508000000007,16.66024549431438,11.224871753846154,22.007593692307694,81.56844783946488,31.18247105844816,6.8,170.201457
McKean,Sauvignon blanc,2016-04-12T00:00:00Z,3-cane,0.739475535255607,2016,103,287,2015-2016,2014-2015,6.823773259793673,2.7424457715799866,3.336580451891011,6.079026223470998,2015-12-11T00:00:00Z,2016-01-28T00:00:00Z,2016-02-15T00:00:00Z,2016-04-12T00:00:00Z,17.053696290816326,10.607327632653062,24.093220816326532,67.2610737414966,22.591483440662415,4.959183673469388,156.3999657,16.393470531609196,10.849719103448276,22.897890862068966,73.82751858477012,30.27072521260345,6.862068965517241,314.400134
Oyster Bay,Sauvignon blanc,2005-04-01T00:00:00Z,2-cane,0,2005,91,275,2004-2005,2003-2004,6.058087127733671,1.407907588274287,0.4717712732868435,1.8796788615611304,2004-11-27T00:00:00Z,2005-01-24T00:00:00Z,2005-02-13T00:00:00Z,2005-04-01T00:00:00Z,15.620420197740113,9.710502824858757,21.24864406779661,64.06746939736347,20.386723655121592,4.1525423728813555,168.8,16.555345052083332,10.140239583333333,22.717604166666668,68.24559027777778,23.96258605072464,4.979166666666667,98.4
